iter	Passed	Remaining
683	824	380
684	825	379
685	826	378
686	826	376
687	827	375
688	828	373
689	829	372
690	830	371
691	830	369
692	831	368
693	832	367
694	833	365
695	834	364
696	835	363
697	836	361
698	837	360
699	837	359
700	838	357
701	839	356
702	840	354
703	840	353
704	841	352
705	842	350
706	843	349
707	844	348
708	845	346
709	846	345
710	846	344
711	847	342
712	848	341
713	850	340
714	851	339
715	852	338
716	853	336
717	853	335
718	854	334
719	855	332
720	856	331
721	857	330
722	857	328
723	858	327
724	859	325
725	860	324
726	860	323
727	861	321
728	862	320
729	863	319
730	864	318
731	865	316
732	866	315
733	867	314
734	867	312
735	868	311
736	869	310
737	870	308
738	871	307
739	872	306
740	875	305
741	875	304
742	876	303
743	877	301
744	878	300
745	879	299
746	880	298
747	881	297
748	882	295
749	883	294
750	883	293
751	884	291
752	885	290
753	886	289
754	887	287
755	887	286
756	888	285
757	889	283
758	890	282
759	890	281
760	891	280
761	892	278
762	893	277
763	894	276
764	895	275
765	896	273
766	897	272
767	898	271
768	898	270
769	899	268
770	900	267
771	901	266
772	902	264
773	902	263
774	903	262
775	904	261
776	905	259
777	906	258
778	906	257
779	907	256
780	908	254
781	910	253
782	910	252
783	911	251
784	912	249
785	913	248
786	914	247
787	915	246
788	916	244
789	916	243
790	917	242
791	918	241
792	919	239
793	919	238
794	920	237
795	921	236
796	922	234
797	922	233
798	923	232
799	925	231
800	926	230
801	926	228
802	927	227
803	928	226
804	929	225
805	929	223
806	930	222
807	931	221
808	932	220
809	933	218
810	933	217
811	934	216
812	935	215
813	936	213
814	936	212
815	937	211
816	938	210
817	939	209
818	940	207
819	941	206
820	942	205
821	943	204
822	943	202
823	945	201
824	946	200
825	948	199
826	949	198
827	951	197
828	952	196
829	953	195
830	955	194
831	956	193
832	957	191
833	958	190
834	959	189
835	960	188
836	961	187
837	962	186
838	963	184
839	963	183
840	964	182
841	965	181
842	966	179
843	966	178
844	967	177
845	968	176
846	970	175
847	971	174
848	971	172
849	972	171
850	973	170
851	974	169
852	974	168
853	975	166
854	976	165
855	977	164
856	977	163
857	978	161
858	979	160
859	980	159
860	980	158
861	981	157
862	982	155
863	983	154
864	985	153
865	986	152
866	986	151
867	987	150
868	988	148
869	989	147
870	989	146
871	990	145
872	991	144
873	992	143
874	993	141
875	994	140
876	994	139
877	995	138
878	996	137
879	997	135
880	998	134
881	999	133
882	1000	132
883	1001	131
884	1002	130
885	1003	129
886	1003	127
887	1004	126
888	1006	125
889	1007	124
890	1008	123
891	1009	122
892	1010	121
893	1011	119
894	1012	118
895	1013	117
896	1015	116
897	1016	115
898	1017	114
899	1018	113
900	1019	111
901	1020	110
902	1020	109
903	1021	108
904	1022	107
905	1023	106
906	1024	105
907	1025	103
908	1026	102
909	1027	101
910	1028	100
911	1030	99
912	1031	98
913	1032	97
914	1033	95
915	1033	94
916	1034	93
917	1035	92
918	1036	91
919	1037	90
920	1038	89
921	1039	87
922	1040	86
923	1041	85
924	1042	84
925	1043	83
926	1045	82
927	1046	81
928	1048	80
929	1049	78
930	1050	77
931	1051	76
932	1052	75
933	1053	74
934	1054	73
935	1055	72
936	1056	71
